40 40 40 40
33	36	27	15	43	35	36	42	49	21	12	27	40	9	13	26	40	26	22	36	11	18	17	29	32	30	12	23	17	35	29	2	22	8	19	17	43	6	11	42	
29	23	21	19	34	37	48	24	15	20	13	26	41	30	6	23	12	20	46	31	5	25	34	27	36	5	46	29	13	7	24	45	32	45	14	17	34	14	43	0	
37	8	26	28	38	34	3	1	4	49	32	10	26	18	39	12	26	36	44	39	45	20	34	28	17	1	47	2	17	42	2	6	1	30	36	41	15	39	44	19	
40	29	31	17	47	21	31	25	9	27	17	6	47	3	36	15	6	33	19	24	28	21	32	29	3	19	20	18	8	15	40	49	46	23	18	45	46	1	21	5	
29	38	14	28	41	0	43	0	34	14	24	14	37	6	43	41	27	15	9	36	32	1	37	28	25	7	24	21	8	45	29	37	35	43	18	28	43	11	28	29	
26	4	43	13	13	38	6	40	4	18	28	38	19	17	17	46	24	43	20	33	40	49	22	25	44	40	5	39	4	36	19	32	42	14	47	7	5	4	48	11	
22	28	49	43	46	18	40	22	11	10	5	1	11	30	28	5	20	36	44	26	22	15	8	16	32	8	24	37	12	24	0	36	2	49	29	0	18	21	23	31	
31	30	33	44	10	13	49	31	49	46	9	23	13	18	40	45	26	16	34	40	40	34	26	42	36	7	45	6	29	18	37	12	48	22	9	9	36	10	42	37	
6	1	13	22	21	5	19	49	21	4	39	11	40	17	5	28	27	0	34	8	20	24	22	19	46	31	30	34	42	22	22	0	25	35	22	49	40	42	48	13	
48	40	24	40	9	31	19	36	32	5	44	4	29	19	23	26	0	5	10	42	29	34	43	5	21	17	4	13	11	4	26	9	44	2	2	6	34	21	42	18	
28	39	22	8	8	48	36	8	3	48	3	33	33	48	40	4	17	46	18	29	0	46	38	47	49	40	3	33	13	47	3	42	36	25	2	46	25	38	7	29	
36	10	14	21	10	4	28	27	0	48	6	2	44	47	49	43	39	2	28	3	0	31	47	38	9	1	35	34	39	42	15	27	4	29	49	14	35	29	43	35	
27	0	38	21	49	39	17	38	42	45	43	44	29	40	32	40	41	19	26	32	11	42	10	17	23	11	31	9	40	25	46	17	27	34	40	26	24	7	14	18	
5	8	12	36	0	46	26	44	16	2	28	29	46	40	47	20	1	30	31	43	7	27	12	36	14	5	12	40	12	29	10	19	39	24	5	41	20	33	37	38	
38	16	20	34	6	17	6	10	49	37	5	9	17	18	45	33	23	8	23	37	39	33	7	28	7	14	21	29	0	9	18	38	25	38	24	33	7	31	43	8	
20	49	17	39	19	13	22	44	23	47	31	12	32	40	42	41	7	15	21	7	24	41	47	1	31	21	37	40	4	30	48	25	31	16	16	2	31	39	46	4	
38	30	18	21	20	12	12	29	27	35	36	4	26	33	7	9	7	44	49	11	27	0	36	10	18	5	13	49	44	11	5	34	41	25	5	14	39	18	43	18	
5	32	22	32	17	30	43	24	26	43	36	3	43	24	14	13	29	27	12	25	38	19	10	32	44	17	46	35	37	41	3	43	23	28	25	41	10	18	17	36	
13	5	40	8	30	4	21	11	33	35	39	23	4	1	5	0	18	3	35	6	45	39	49	20	17	26	13	27	46	31	15	10	36	5	20	18	11	42	32	46	
29	21	20	34	22	27	34	40	33	22	48	30	13	47	0	30	23	14	9	22	47	24	32	35	32	4	4	43	48	36	40	28	9	12	12	33	41	48	23	24	
22	22	4	35	21	7	15	47	21	26	19	18	1	3	3	33	7	9	28	6	47	20	34	8	34	48	41	26	48	15	2	21	39	9	6	10	16	24	9	39	
0	28	9	3	31	14	38	39	26	17	47	23	37	31	32	22	31	25	0	29	40	4	0	31	13	7	44	31	31	3	20	33	32	31	37	15	46	25	4	22	
42	1	47	32	34	31	6	15	7	8	45	49	12	47	33	26	4	27	9	37	32	32	21	16	13	10	32	11	35	36	35	30	40	33	14	26	16	20	42	25	
28	39	25	40	36	10	18	43	37	28	32	21	10	5	38	25	15	20	37	3	8	22	33	0	7	47	27	26	19	21	1	49	10	28	39	48	38	10	43	27	
40	26	49	2	31	37	27	49	7	16	2	17	41	35	18	48	34	45	26	5	16	28	4	28	8	43	28	47	5	22	24	45	0	25	47	33	12	27	32	21	
43	34	39	34	21	9	35	7	4	11	12	22	41	16	2	0	12	32	49	17	4	23	15	6	1	14	40	13	41	22	37	37	9	28	21	30	37	6	40	41	
20	2	15	11	19	17	11	33	1	12	0	6	38	17	14	39	32	4	4	25	29	41	12	38	19	36	20	6	44	10	49	14	15	14	26	36	33	39	19	35	
2	21	43	40	39	9	31	23	14	35	48	45	27	13	33	48	49	5	5	43	18	6	10	33	23	36	21	8	27	40	45	31	11	40	23	0	0	4	25	14	
42	24	9	19	39	44	19	38	1	26	33	19	33	43	4	6	31	25	16	11	17	12	42	29	2	18	31	2	24	7	18	16	33	27	37	22	23	7	12	25	
33	47	46	18	41	3	26	24	30	43	35	48	5	30	29	9	48	10	12	24	19	30	41	2	10	30	26	33	39	40	8	23	38	7	43	31	10	20	5	40	
13	41	38	20	21	17	29	21	30	43	45	49	24	38	4	36	19	32	19	10	23	30	33	13	37	29	44	49	49	1	39	14	42	30	36	15	49	15	36	31	
11	34	33	37	22	37	23	43	19	42	4	44	24	39	9	13	18	3	12	19	5	4	33	49	34	19	15	35	37	3	19	0	37	2	37	12	39	10	5	10	
4	11	7	29	3	16	42	21	22	5	43	29	11	28	28	47	0	45	32	37	49	1	39	36	3	26	48	44	36	6	7	42	17	14	21	20	30	16	44	4	
23	37	33	34	17	12	31	17	9	15	6	8	19	45	45	22	21	45	19	9	1	26	2	21	40	25	43	22	41	39	27	16	28	12	0	46	24	33	13	36	
49	20	44	18	15	41	42	39	37	13	48	40	39	2	13	31	28	7	4	21	46	33	38	25	45	40	21	22	26	34	8	25	6	2	45	22	46	39	11	33	
3	11	25	42	16	39	24	44	46	30	17	44	13	7	19	10	0	42	32	26	29	40	3	35	45	48	7	41	37	20	26	40	34	1	33	0	42	9	46	40	
39	13	35	4	23	6	14	23	1	49	1	30	39	4	15	36	2	25	29	41	47	7	34	31	11	19	31	3	28	27	44	19	43	31	23	18	37	39	43	38	
38	44	20	30	48	36	18	2	13	48	45	10	5	29	42	16	48	25	22	28	3	16	47	48	47	22	16	36	12	9	27	0	3	47	32	3	35	1	7	48	
49	4	11	6	34	3	25	34	28	47	13	33	15	10	31	14	35	47	0	47	8	29	49	13	29	34	16	14	35	25	15	36	30	26	42	16	29	19	2	9	
